Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_1V-Decoup1,1uF,C_0402_1005Metric,60.424371,17.264106,180,bottom
C_1V-Decoup2,100nF,C_0402_1005Metric,60.424371,18.454734,180,bottom
C_1V-Decoup3,100nF,C_0402_1005Metric,54.471231,5.357826,-135,bottom
C_3V-Decoup1,10uF,C_0402_1005Metric,56.257173,19.050048,45,bottom
C_3V-Decoup2,1uF,C_0402_1005Metric,57.191898,18.157077,45,bottom
C_3V-Decoup3,100nF,C_0402_1005Metric,60.424371,14.88285,45,bottom
C_3V-Decoup4,100nF,C_0402_1005Metric,59.5314,15.775821,45,bottom
C_3V-Decoup5,100nF,C_0402_1005Metric,58.043115,17.264106,45,bottom
C_3V-Decoup6,100nF,C_0402_1005Metric,68.758767,8.632053,0,bottom
C_3V-Decoup7,100nF,C_0402_1005Metric,56.257173,12.799251,180,bottom
C_3V-Decoup8,100nF,C_0402_1005Metric,53.980024,2.308913,-90,bottom
C_3V-Decoup9,100nF,C_0402_1005Metric,66.377511,5.655483,0,bottom
C_Crystal1,22pF,C_0402_1005Metric,58.340772,0.892971,0,bottom
C_Crystal2,22pF,C_0402_1005Metric,55.959516,0.892971,180,bottom
C_Flash1,100nF,C_0402_1005Metric,69.949395,27.086787,45,bottom
C_LD1,1uF,C_0402_1005Metric,76.200192,59.118429,90,bottom
C_LD2,1uF,C_0402_1005Metric,70.842366,58.168429,90,bottom
C1,100nF,C_0402_1005Metric,88.999443,74.184564,-90,bottom
D1,BAV70,SOT-23,15.180663,63.187764,90,bottom
D10,BAV70,SOT-23,96.143367,44.137716,90,bottom
D11,BAV70,SOT-23,86.618343,25.087668,90,bottom
D12,BAV70,SOT-23,81.855675,6.037668,90,bottom
D13,BAV70,SOT-23,129.480951,63.187764,90,bottom
D14,BAV70,SOT-23,134.243463,44.137716,90,bottom
D15,BAV70,SOT-23,124.718439,25.087668,90,bottom
D16,BAV70,SOT-23,119.955771,6.037668,90,bottom
D17,BAV70,SOT-23,167.581047,63.187764,90,bottom
D18,BAV70,SOT-23,179.430142,44.13789,90,bottom
D19,BAV70,SOT-23,162.818535,25.087668,90,bottom
D2,BAV70,SOT-23,17.561919,44.137716,90,bottom
D20,BAV70,SOT-23,171.393403,9.227367,90,bottom
D21,BSD3C051V,D_SOD-323,85.427559,74.184564,90,bottom
D3,BAV70,SOT-23,22.324431,25.087668,90,bottom
D4,BAV70,SOT-23,19.050048,8.334396,90,bottom
D5,BAV70,SOT-23,53.280759,63.187764,90,bottom
D6,BAV70,SOT-23,58.043271,44.137716,90,bottom
D7,BAV70,SOT-23,48.518247,25.087668,90,bottom
D8,BAV70,SOT-23,40.481352,6.037668,90,bottom
D9,BAV70,SOT-23,102.275024,73.818936,90,bottom
F1,0603L075SLYR,Fuse_0603_1608Metric,90.300385,58.638429,180,bottom
FB1,BLM15PX121SN1D,L_0402_1005Metric,83.641617,74.184564,90,bottom
FB2,BLM15PX121SN1D,L_0402_1005Metric,92.979298,58.638429,180,bottom
J3,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,95.25024,74.116593,0,bottom
R_Crystal1,1k ohm,R_0402_1005Metric,57.150144,5.357827,0,bottom
R_DATA1,27 ohm,R_0402_1005Metric,61.519055,21.133647,-45,bottom
R_DATA2,27 ohm,R_0402_1005Metric,60.722028,20.33662,-45,bottom
R_Flash1,5.1k ohm,R_0402_1005Metric,68.46111,27.086787,45,bottom
R_Flash2,5.1k ohm,R_0402_1005Metric,72.925965,27.086787,-45,bottom
R_Flash3,1k ohm,R_0402_1005Metric,74.41425,27.086787,-45,bottom
R_RST1,5.1k ohm,R_0402_1005Metric,5.357826,31.620072,-90,bottom
R1,1M ohm,R_0603_1608Metric,87.511158,74.184564,-90,bottom
R2,5.1k ohm,R_0402_1005Metric,94.00024,67.839854,-90,bottom
R3,5.1k ohm,R_0402_1005Metric,97.00024,67.839854,-90,bottom
SW1,RESET,SW_SPST_TL3342,29.170386,25.003188,0,bottom
SW2,BOOTSEL,SW_SPST_TL3342,29.170386,31.253985,0,bottom
U1,RP2040,RP2040-QFN-56,61.912656,9.227367,135,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,71.43768,22.919589,180,bottom
U3,XC6206P332MR,SOT-23,73.521279,58.638429,180,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,57.150144,3.158913,0,bottom
